gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cell_type
MT-ATP6	6.074153843843771e-8	0.9073511309916058	1	0.872	0.0013289641194945787	Plasma_cells
MT-ND4L	5.341961443709337e-7	0.8127305668902283	1	0.899	0.011687677442691658	Plasma_cells
MT-CO3	1.6070926390048068e-15	-0.6609623026800477	1	0.996	3.516157984878617e-11	DCs
MT-ND1	7.767069327494546e-12	-0.5277172984617655	1	0.996	1.6993570981625317e-7	DCs
MT-ATP6	5.680496570810227e-9	-0.3940192114098764	1	0.996	1.2428358447275697e-4	DCs
MT-CYB	1.5414229817537733e-7	-0.37487230639851	1	0.996	0.0033724793417790806	DCs
MT-CO1	6.474793383611828e-7	-0.27001572237568805	1	0.996	0.01416620044400432	DCs
MT-ND3	3.751963460072154e-21	0.7374942749805062	0.992	0.962	8.208920854291865e-17	CAFs
MT-ND2	1.4567832705493675e-12	0.5086790676552875	0.992	0.965	3.1872961176349614e-8	CAFs
MT-ND5	5.285304973228677e-11	0.4760765230076185	0.983	0.965	1.1563718750927022e-6	CAFs
MT-ATP8	1.249045794539863e-7	0.45807208962354684	0.992	0.962	0.002732787293873766	CAFs
MT-CO2	1.0178153079312494e-6	0.2749357787497222	1	0.983	0.022268781122227806	CAFs
MT-ND4L	2.236948348249983e-6	0.2851932624310294	0.992	0.99	0.04894219291136138	CAFs
MT-ND3	2.305843405194943e-9	0.8717682826907418	0.966	0.962	5.044954786226016e-5	Myofibroblasts
MT-CO2	4.834169759527261e-7	0.6490875531342426	1	0.984	0.010576680016869695	Myofibroblasts
MT-ATP8	1.4206035415671373e-6	0.5559585366104498	1	0.973	0.031081384885947395	Myofibroblasts
MT-ND3	7.338657031517448e-8	0.6893072116816814	1	0.97	0.0016056247719257026	Melanocytes
MT-CO1	2.5898704000854136e-85	1.288672198600568	0.99	0.907	5.666377448346876e-81	Tumor_1
MT-CO3	1.52793194258746e-63	1.0028731061522054	0.98	0.853	3.3429622971871037e-59	Tumor_1
MT-ND3	1.022995663084996e-15	0.3920969667751857	0.97	0.89	2.2382122112636627e-11	Tumor_1
MT-ND6	3.0604795999578316e-12	0.4290564100510087	0.612	0.373	6.69602331674774e-8	Tumor_1
MT-CO2	2.933136354671273e-10	0.2834450470924108	0.985	0.933	6.4174090303852785e-6	Tumor_1
MT-ND4L	1.1800560067439707e-7	-0.3630735045521787	0.988	0.957	0.0025818445371551335	Tumor_1
